Name,Released_year,Rating,Genre,Sub_genre,Free
Just Act Natural,2022,8.8,Action,Casual,True
Propagation VR,2020,9.4,Action,N/A,True
Dungeon Fighter Online,2016,7.8,Action,Adventure,True
Call of War: World War 2,2017,7.2,Massively Multiplayer,Simulation,True
Left on Read,2020,8.0,Adventure,Casual,True
BABBDI,2022,9.8,Adventure,Casual,True
Atlas Reactor,2016,8.1,Strategy,N/A,False
Kalpa of Sword,2024,6.7,Action,Adventure,True
Soda Dungeon 2,2020,9.5,Casual,Indie,True
Bloody Hell,2023,9.8,Action,Adventure,True
We Become What We Behold Fan-Made Port,2019,9.6,Casual,Indie,True
Lost Ark Closed Technical Alpha Playtest,2021,9.5,N/A,N/A,False
MONMUSU,2018,8.0,Casual,Indie,True
Lost Lands: Mahjong,2016,9.2,Adventure,Casual,True
Chair Simulator,2021,8.9,Casual,Simulation,True
NEKOPARA - Catboys Paradise,2021,8.9,Adventure,Casual,True
Command & Conquer Red Alert 2 and Yuris Revenge,2024,9.2,Action,Strategy,False
Madden NFL 21,2020,5.0,Simulation,Sports,False
Ace Combat Assault Horizon - Enhanced Edition,2013,7.7,Action,Simulation,False
King Arthur's Gold,2013,8.1,Action,Indie,True
Card Hunter,2015,8.0,RPG,Strategy,True
Hide and Shriek,2017,6.8,Action,N/A,True
RollerCoaster Tycoon 3: Platinum,2008,8.1,Simulation,Strategy,False
Panzar,2013,6.6,Action,Massively Multiplayer,True
BrainBread 2,2022,7.3,Action,Adventure,True
The Council,2018,6.7,Adventure,RPG,True
WildStar,2016,8.2,Massively Multiplayer,RPG,False
KartRider: Drift,2023,7.6,Racing,N/A,False
PRICE,2016,9.4,Adventure,Casual,True
Seek Girl,2019,7.8,Action,Casual,True
Time Clickers,2015,8.8,Action,Casual,True
Battle for Wesnoth,2018,9.4,Indie,Strategy,True
Pinball FX3,2017,8.9,Simulation,N/A,True
Nightmare Kart,2024,9.7,Racing,N/A,True
Command & Conquer: Red Alert 3 - Uprising,2009,6.4,Strategy,N/A,False
Project Kat - Paper Lily Prologue,2021,9.9,Adventure,Indie,True
Killer Instinct,2017,8.7,Action,N/A,True
VTube Studio,2021,9.2,Indie,N/A,True
AION MMO,2015,5.5,Massively Multiplayer,RPG,True
NEW SCUFFED EPIC BHOP SIMULATOR 2023 (POG CHAMP),2020,9.1,Action,Adventure,True
Escape Memoirs: Mini Stories,2022,8.6,Adventure,Casual,True
枝江往事,2021,9.7,Casual,N/A,True
Slappyball,2021,8.3,Casual,Sports,True
Higurashi When They Cry Hou - Ch.1 Onikakushi,2015,9.6,Adventure,N/A,True
